0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
2.5546312,-0.77141345,0.7097531,-0.009207562,0.80211514,0.69345045,0.6047685,2.3122246,1.1785936,0.97116244,-2.2913184,-1.4089595,-1.6049644,0.41624194,1.0081307,-0.949213,2.2699447,-1.193903,1.0009917,-0.9804886,-0.07507285,-0.103897244,-0.1547407,-2.7158513,-3.1512027,0.910806,-2.1795967,0.6218818,0.4487597,1.2762529,2.036242,-1.8111513
2.5534244,-0.7716654,0.70881194,-0.00806177,0.80115443,0.6929766,0.6046065,2.3122315,1.1784538,0.9709968,-2.2921486,-1.4088438,-1.6048048,0.41622615,1.0086797,-0.94864976,2.26868,-1.1943903,0.999859,-0.9814472,-0.07575111,-0.102444574,-0.15547574,-2.7157671,-3.1502817,0.9101379,-2.1790602,0.62226933,0.44873893,1.2763945,2.0352092,-1.8112332
2.5541968,-0.7715839,0.70991486,-0.0091785155,0.80161035,0.6932082,0.6043338,2.3118167,1.1788828,0.9704396,-2.29174,-1.4086701,-1.6050589,0.4158274,1.0076989,-0.94890857,2.2701473,-1.1936765,1.0007174,-0.98099244,-0.074374594,-0.10383079,-0.15461683,-2.7154965,-3.151465,0.9119816,-2.1792562,0.6223364,0.44865692,1.2753884,2.035737,-1.8109311
2.5541935,-0.7715371,0.7096541,-0.00898264,0.8016311,0.69321966,0.6049297,2.312193,1.1785703,0.97111326,-2.2915826,-1.4090052,-1.6047246,0.41635567,1.0080303,-0.94927394,2.2695615,-1.1937398,1.000882,-0.98053837,-0.074812286,-0.10371141,-0.15486848,-2.7158978,-3.150665,0.9106312,-2.1796143,0.6220394,0.44901347,1.2758031,2.0361073,-1.8113695
2.55366,-0.77177286,0.7088053,-0.008073561,0.8013086,0.69294786,0.6045486,2.3121772,1.1787136,0.97087675,-2.2924182,-1.4088533,-1.6049261,0.4163658,1.0088325,-0.9486909,2.2693324,-1.1943126,0.9999926,-0.9815178,-0.075904414,-0.102783695,-0.15554084,-2.7158346,-3.150817,0.91049993,-2.1792083,0.62204653,0.44886354,1.2763474,2.035248,-1.8112481
2.5544732,-0.7711926,0.7101723,-0.009857338,0.80222726,0.6934404,0.60426146,2.311481,1.1792302,0.9702358,-2.291722,-1.4087008,-1.6053687,0.41572607,1.0073308,-0.94903743,2.2709327,-1.1936593,1.0010874,-0.9808723,-0.07391059,-0.10441221,-0.15463428,-2.7156575,-3.1520464,0.91280216,-2.1790845,0.62243366,0.44862595,1.2751408,2.0359075,-1.8107353
2.5537283,-0.77083457,0.70972383,-0.009172112,0.80163234,0.693501,0.6045574,2.311753,1.1785675,0.9705347,-2.2914793,-1.4086881,-1.6049682,0.41555464,1.0070409,-0.94893837,2.269998,-1.1934513,1.0005498,-0.98094875,-0.074350245,-0.104132846,-0.1544663,-2.715398,-3.1509738,0.9115739,-2.179442,0.62234306,0.44859514,1.275661,2.0355983,-1.81081
2.5541375,-0.77122396,0.7099463,-0.009265386,0.8014744,0.6934721,0.6044659,2.3118308,1.178572,0.97067577,-2.2915838,-1.4086413,-1.6050361,0.41574436,1.0072895,-0.9488518,2.2702293,-1.193583,1.0006909,-0.98116356,-0.07421413,-0.1041473,-0.15445626,-2.7154143,-3.1513548,0.91206264,-2.1794467,0.62228066,0.4484874,1.275693,2.0356956,-1.8110504
2.5544279,-0.77144897,0.7102061,-0.00924404,0.8018075,0.69348186,0.60473484,2.312157,1.178547,0.9707925,-2.2916338,-1.4086814,-1.6046627,0.4162274,1.0077316,-0.94951415,2.269995,-1.1934614,1.0011752,-0.98053646,-0.07465618,-0.10441998,-0.1547832,-2.7157621,-3.1513577,0.9115091,-2.1797345,0.6216563,0.44870883,1.2759663,2.0357604,-1.8114395
2.5544043,-0.771495,0.7097499,-0.008987524,0.8017939,0.69318676,0.604728,2.312068,1.1785662,0.9708763,-2.2915652,-1.4088537,-1.6048243,0.4162802,1.0078219,-0.949388,2.2699008,-1.1937381,1.0008842,-0.9805881,-0.07487056,-0.10401283,-0.15481365,-2.7157524,-3.1513174,0.91105324,-2.1797242,0.6216225,0.44853294,1.2762848,2.035642,-1.8113028
