latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19,latent_20,latent_21,latent_22,latent_23,latent_24,target,split
0.98892635,0.604403,0.029780783,1.1388491,1.8694073,-1.5563698,0.029035956,0.11496796,-0.017960235,-1.4575822,0.05777879,-0.9655643,-1.8296682,-1.9035888,0.64155734,1.2574916,-0.3063324,-0.46912396,0.6331562,0.9435454,0.009625249,-0.85637915,-1.4670547,0.5872735,1.4267449,0.88854045,train
0.9889212,0.60439306,0.02978351,1.1388582,1.8694025,-1.5563691,0.029034913,0.11496487,-0.017960668,-1.4575915,0.05777356,-0.9655705,-1.8296627,-1.9035894,0.64155805,1.2574904,-0.30633688,-0.46911752,0.63314545,0.94355595,0.009635113,-0.8563807,-1.4670494,0.587279,1.4267521,0.88854045,train
0.98893183,0.6044028,0.029767707,1.1388553,1.8694109,-1.556375,0.029043034,0.11496624,-0.017961636,-1.4575741,0.057775125,-0.9655482,-1.8296671,-1.9036013,0.6415569,1.2574934,-0.3063239,-0.4691323,0.6331625,0.94354844,0.009617291,-0.8563837,-1.4670445,0.58726525,1.4267328,0.88854045,train
0.98891693,0.60439545,0.02978374,1.1388482,1.8694088,-1.556371,0.029036462,0.11497323,-0.017963871,-1.4575834,0.05777496,-0.9655671,-1.829664,-1.9035882,0.6415614,1.2574885,-0.30633795,-0.46912438,0.633147,0.94355303,0.009635501,-0.8563825,-1.4670537,0.5872809,1.4267522,0.88854045,train
0.9889248,0.6043978,0.02977065,1.1388518,1.8694068,-1.5563759,0.029043227,0.11497374,-0.01796025,-1.4575799,0.057778,-0.965558,-1.8296652,-1.9035956,0.6415607,1.257488,-0.30632648,-0.46913034,0.6331543,0.94355124,0.009627275,-0.85638237,-1.4670497,0.58726996,1.4267454,0.88854045,train
0.9889193,0.6044001,0.029775009,1.1388397,1.8694078,-1.5563749,0.029041737,0.114986435,-0.017960623,-1.4575757,0.057782114,-0.9655591,-1.8296717,-1.9035875,0.6415646,1.257486,-0.30633402,-0.46913874,0.63314843,0.94355065,0.009630032,-0.8563799,-1.4670576,0.58727473,1.4267538,0.88854045,train
0.9889309,0.6044059,0.02976282,1.1388427,1.8694078,-1.5563792,0.029047504,0.114985466,-0.01795885,-1.4575692,0.057781577,-0.9655472,-1.8296739,-1.9035966,0.6415662,1.2574892,-0.30632132,-0.4691447,0.6331595,0.94354886,0.009615265,-0.8563818,-1.4670504,0.5872613,1.4267381,0.88854045,train
0.9889353,0.6044048,0.02976206,1.1388497,1.8694079,-1.5563779,0.029042363,0.11497864,-0.017958209,-1.457571,0.05777785,-0.9655452,-1.8296703,-1.9035995,0.64156705,1.2574912,-0.3063203,-0.46913975,0.6331587,0.9435497,0.009611644,-0.85638225,-1.4670472,0.58725965,1.4267347,0.88854045,train
0.9889371,0.6044043,0.029758938,1.1388506,1.8694098,-1.556379,0.02904141,0.11497787,-0.01795797,-1.457568,0.05777797,-0.9655405,-1.8296705,-1.9036018,0.6415642,1.2574906,-0.30631804,-0.46914142,0.63316107,0.9435497,0.0096092895,-0.8563827,-1.467046,0.5872589,1.426734,0.88854045,train
0.98892874,0.6043997,0.029768504,1.1388537,1.8694073,-1.5563765,0.029039502,0.11497559,-0.01795961,-1.457578,0.0577752,-0.96555346,-1.8296653,-1.9035963,0.64156586,1.2574894,-0.3063271,-0.46913207,0.6331512,0.94355375,0.009621628,-0.8563826,-1.4670479,0.5872672,1.4267414,0.88854045,train
